addition([train(2764)], [train(8527)], 9).
addition([train(27012)], [train(56713)], 10).
addition([train(9535)], [train(36004)], 16).
addition([train(24984)], [train(14645)], 15).
addition([train(53805)], [train(24873)], 8).
addition([train(53519)], [train(44383)], 9).
addition([train(59448)], [train(48366)], 12).
addition([train(20263)], [train(34706)], 1).
addition([train(33182)], [train(59947)], 14).
addition([train(19800)], [train(13360)], 12).
addition([train(41095)], [train(19519)], 9).
addition([train(57056)], [train(18481)], 8).
addition([train(37646)], [train(18210)], 4).
addition([train(25101)], [train(105)], 1).
addition([train(14219)], [train(45994)], 8).
addition([train(17956)], [train(50475)], 2).
addition([train(47325)], [train(8608)], 16).
addition([train(23114)], [train(34887)], 2).
addition([train(44963)], [train(18247)], 6).
addition([train(29779)], [train(23654)], 10).
addition([train(49863)], [train(13816)], 5).
addition([train(29536)], [train(37832)], 11).
addition([train(10059)], [train(54761)], 16).
addition([train(40100)], [train(38812)], 7).
addition([train(14534)], [train(15783)], 9).
addition([train(6627)], [train(5209)], 11).
addition([train(54940)], [train(13979)], 15).
addition([train(21469)], [train(57261)], 0).
addition([train(746)], [train(52937)], 11).
addition([train(59882)], [train(9197)], 1).
addition([train(39403)], [train(4987)], 6).
addition([train(13864)], [train(53687)], 5).
addition([train(56579)], [train(20959)], 4).
addition([train(31872)], [train(4788)], 13).
addition([train(48564)], [train(59133)], 10).
addition([train(56065)], [train(7672)], 5).
addition([train(38582)], [train(5763)], 9).
addition([train(39168)], [train(12847)], 3).
addition([train(21360)], [train(46489)], 10).
addition([train(33328)], [train(58424)], 14).
addition([train(6941)], [train(58226)], 10).
addition([train(37532)], [train(22695)], 5).
addition([train(34466)], [train(36209)], 8).
addition([train(4321)], [train(465)], 6).
addition([train(29080)], [train(19253)], 9).
addition([train(30193)], [train(5065)], 5).
addition([train(20260)], [train(10733)], 15).
addition([train(59506)], [train(10807)], 12).
addition([train(4156)], [train(33428)], 4).
addition([train(7512)], [train(29697)], 9).
addition([train(49826)], [train(6855)], 6).
addition([train(43598)], [train(35621)], 8).
addition([train(20861)], [train(52127)], 18).
addition([train(32726)], [train(34555)], 2).
addition([train(46368)], [train(32500)], 14).
addition([train(7184)], [train(27988)], 11).
addition([train(22312)], [train(53079)], 17).
